interest,career_goal,academic_performance,programming,problem_solving,communication,career
Artificial Intelligence,Technical career,High,Advanced,Advanced,Intermediate,Machine Learning Engineer
Artificial Intelligence,Research,High,Advanced,Advanced,Intermediate,AI Researcher
Artificial Intelligence,High salary,High,Advanced,Advanced,Intermediate,Machine Learning Engineer
Machine Learning,Technical career,High,Advanced,Advanced,Intermediate,Machine Learning Engineer
Machine Learning,Research,High,Advanced,Advanced,Advanced,AI Researcher
Machine Learning,High salary,High,Advanced,Advanced,Intermediate,Data Scientist
Data Science,High salary,High,Advanced,Advanced,Intermediate,Data Scientist
Data Science,Technical career,High,Advanced,Advanced,Advanced,Data Scientist
Data Science,Research,High,Advanced,Advanced,Intermediate,Data Scientist
Data Science,Stable career,Good,Intermediate,Intermediate,Advanced,Data Analyst
Web Development,Technical career,Good,Intermediate,Intermediate,Intermediate,Web Developer
Web Development,Creative work,Good,Intermediate,Intermediate,Advanced,UI UX Developer
Web Development,High salary,High,Advanced,Advanced,Intermediate,Full Stack Developer
Web Development,Creative work,Average,Intermediate,Intermediate,Advanced,UI UX Developer
Cyber Security,Technical career,High,Advanced,Advanced,Intermediate,Cyber Security Analyst
Cyber Security,High salary,High,Advanced,Advanced,Intermediate,Cyber Security Analyst
Cyber Security,Stable career,Good,Intermediate,Advanced,Intermediate,Cyber Security Analyst
Cyber Security,Research,High,Advanced,Advanced,Intermediate,Security Researcher
App Development,Technical career,Good,Intermediate,Intermediate,Intermediate,Mobile App Developer
App Development,Creative work,Good,Intermediate,Intermediate,Advanced,Mobile App Developer
App Development,High salary,High,Advanced,Advanced,Intermediate,Mobile App Developer
App Development,Stable career,Good,Intermediate,Intermediate,Intermediate,Mobile App Developer
Artificial Intelligence,High salary,High,Advanced,Advanced,Advanced,Data Scientist
Machine Learning,Technical career,High,Advanced,Advanced,Advanced,Data Scientist
Data Science,Creative work,Good,Intermediate,Intermediate,Advanced,Data Analyst
Web Development,Stable career,Good,Intermediate,Intermediate,Advanced,Web Developer
Cyber Security,High salary,Good,Advanced,Advanced,Intermediate,Security Engineer
App Development,Creative work,Average,Intermediate,Intermediate,Advanced,UI UX Developer
Artificial Intelligence,Technical career,Good,Intermediate,Advanced,Intermediate,AI Engineer
Machine Learning,High salary,Good,Advanced,Advanced,Intermediate,AI Engineer
Commerce & Finance,Stable career,High,Beginner,Advanced,Advanced,Accountant
Commerce & Finance,High salary,High,Intermediate,Advanced,Advanced,Financial Analyst
Commerce & Finance,High salary,High,Intermediate,Advanced,Advanced,Investment Analyst
Commerce & Finance,Stable career,Good,Beginner,Intermediate,Advanced,Banking Professional
Commerce & Finance,High salary,High,Beginner,Advanced,Advanced,Chartered Accountant
Commerce & Finance,Technical career,Good,Intermediate,Advanced,Advanced,Business Analyst
Commerce & Finance,Stable career,Good,Beginner,Intermediate,Advanced,Financial Planner
Commerce & Finance,Creative work,Good,Beginner,Intermediate,Advanced,Digital Marketing Specialist
Medical & Healthcare,Stable career,High,Beginner,Advanced,Advanced,Doctor
Medical & Healthcare,Stable career,High,Beginner,Advanced,Advanced,Pharmacist
Medical & Healthcare,Stable career,Good,Beginner,Advanced,Advanced,Physiotherapist
Medical & Healthcare,Stable career,Good,Beginner,Intermediate,Advanced,Nurse
Medical & Healthcare,Technical career,High,Beginner,Advanced,Intermediate,Medical Laboratory Technologist
Medical & Healthcare,Stable career,Good,Beginner,Intermediate,Advanced,Healthcare Administrator
Medical & Healthcare,Stable career,High,Beginner,Advanced,Advanced,Dietitian
Law & Public Services,Stable career,High,Beginner,Advanced,Advanced,Lawyer
Law & Public Services,Stable career,High,Beginner,Advanced,Advanced,Legal Advisor
Law & Public Services,Stable career,High,Beginner,Advanced,Advanced,Civil Services Officer
Law & Public Services,Research,Good,Beginner,Advanced,Advanced,Public Policy Analyst
Law & Public Services,Stable career,Good,Beginner,Advanced,Advanced,Government Administrative Officer
Management & Business,High salary,High,Intermediate,Advanced,Advanced,Business Manager
Management & Business,High salary,Good,Beginner,Advanced,Advanced,Marketing Manager
Management & Business,Stable career,Good,Beginner,Advanced,Advanced,Human Resources Manager
Management & Business,Stable career,Good,Intermediate,Advanced,Advanced,Operations Manager
Management & Business,Technical career,Good,Intermediate,Advanced,Advanced,Project Manager
Management & Business,High salary,Good,Intermediate,Advanced,Advanced,Entrepreneur
Management & Business,Creative work,Good,Intermediate,Intermediate,Advanced,Digital Marketing Specialist
Science & Research,Research,High,Beginner,Advanced,Intermediate,Research Scientist
Science & Research,Research,High,Beginner,Advanced,Intermediate,Biotechnologist
Science & Research,Research,Good,Beginner,Advanced,Intermediate,Environmental Scientist
Science & Research,Research,Good,Intermediate,Advanced,Advanced,Research Analyst
Science & Research,Stable career,Good,Beginner,Advanced,Intermediate,Laboratory Researcher
Engineering & Technology,Technical career,High,Intermediate,Advanced,Intermediate,Mechanical Engineer
Engineering & Technology,Technical career,High,Intermediate,Advanced,Intermediate,Civil Engineer
Engineering & Technology,Technical career,High,Intermediate,Advanced,Intermediate,Electrical Engineer
Engineering & Technology,Technical career,High,Intermediate,Advanced,Intermediate,Electronics Engineer
Engineering & Technology,Technical career,High,Intermediate,Advanced,Intermediate,Chemical Engineer
Engineering & Technology,Technical career,High,Advanced,Advanced,Intermediate,Robotics Engineer
Education,Stable career,Good,Beginner,Advanced,Advanced,School Teacher
Education,Stable career,High,Beginner,Advanced,Advanced,College Lecturer
Education,Research,High,Beginner,Advanced,Advanced,Academic Researcher
Education,Stable career,Good,Beginner,Intermediate,Advanced,Educational Consultant
